STATE,Year,Total murders,Total firearms,Handguns,Rifles,Shotguns,Firearms (type unknown),Knives or cutting instruments,Other weapons,"Hands, fists, feet, etc.",Murder Rate (per 100k),Firearms Rate,Handgun Rate,Rifles Rate,Shotguns Rate,Firearms (type unknown) Rate,Knives or cutting instruments Rate,Other Weapons Rate,"Hands, fists, feet, Rate",HFR,HFR_se,Fem_FS_S,Male_FS_S,BRFSS,GALLUP,GSS,PEW,AvgGunOwnershipEst,Population Estimate,Homicides per 100k Inhabitants,Est. Homicides,"Deaths, Excluding Firearms",Deaths,Population,"Crude Rate Per 100,000",FIREARM FATAILTIY RATE,FIREARM DEATHS,Guns Owners,Firearm Owners per 100k inhabitants,Homicides per Firearm Owner,Firearms per Homicide,Firearm Owners per Fatality,Firearm / Overall Deaths
Alaska,2001,,,,,,,,,,,,,,,,,,,0.61,0.021,0.3,0.719512195,0.616017899,,,,0.616017899,633538,6.2,39.28,"2,974","2,974","633,714",469.3,,,390271,61602,0.0001006464262,9936,,
Arizona,2001,,,,,,,,,,,,,,,,,,,0.35,0.021,0.434482759,0.651125402,0.328582668,,,,0.328582668,5303869,7.5,397.79,"41,058","41,058","5,273,477",778.6,,,1742759,32858,0.0002282530617,4381,,
Arkansas,2001,,,,,,,,,,,,,,,,,,,0.537,0.021,0.647058824,0.732484076,0.532243234,,,,0.532243234,2690743,5.5,147.99,"27,759","27,759","2,691,571","1,031.30",,,1432130,53224,0.0001033362126,9677,,
California,2001,,,,,,,,,,,,,,,,,,,0.229,0.021,0.337301587,0.550064461,0.214033918,,,,0.214033918,34481753,6.4,2206.83,"234,044","234,044","34,479,458",678.8,,,7380265,21403,0.0002990180276,3344,,
Colorado,2001,,,,,,,,,,,,,,,,,,,0.371,0.021,0.350993377,0.590192644,0.342236606,,,,0.342236606,4432779,3.6,159.58,"28,294","28,294","4,425,687",639.3,,,1517059,34224,0.000105190384,9507,,
Connecticut,2001,,,,,,,,,,,,,,,,,,,0.189,0.021,0.096153846,0.476190476,0.183183886,,,,0.183183886,3428043,3.1,106.27,"29,827","29,827","3,432,835",868.9,,,627962,18318,0.0001692288589,5909,,
Delaware,2001,,,,,,,,,,,,,,,,,,,0.3,0.021,0.434782609,0.505882353,0.292305993,,,,0.292305993,794954,2.9,23.05,"7,112","7,112","795,699",893.8,,,232370,29231,0.00009921110307,10080,,
Florida,2001,,,,,,,,,,,,,,,,,,,0.268,0.021,0.310546875,0.576026637,0.254658536,,,,0.254658536,16350988,5.3,866.60,"167,269","167,269","16,356,966","1,022.60",,,4163919,25466,0.0002081218279,4805,,
Georgia,2001,,,,,,,,,,,,,,,,,,,0.427,0.021,0.543956044,0.699867198,0.416791246,,,,0.416791246,8418687,7.1,597.73,"64,485","64,485","8,377,038",769.8,,,3508835,41679,0.0001703490673,5870,,
Hawaii,2001,,,,,,,,,,,,,,,,,,,0.103,0.021,0.121212121,0.262135922,0.10404954,,,,0.10404954,1218790,2.6,31.69,"8,394","8,394","1,225,948",684.7,,,126815,10405,0.0002498809702,4002,,
Idaho,2001,,,,,,,,,,,,,,,,,,,0.573,0.021,0.452830189,0.713375796,0.564803764,,,,0.564803764,1320791,2.3,30.38,"9,753","9,753","1,319,962",738.9,,,745988,56480,0.00004072210822,24557,,
Illinois,2001,,,,,,,,,,,,,,,,,,,0.218,0.021,0.265116279,0.484848485,0.202118586,,,,0.202118586,12506636,7.8,975.52,"105,430","105,430","12,488,445",844.2,,,2527824,20212,0.0003859120606,2591,,
Indiana,2001,,,,,,,,,,,,,,,,,,,0.387,0.021,0.44137931,0.60877193,0.383752228,,,,0.383752228,6124090,6.7,410.31,"55,198","55,198","6,127,760",900.8,,,2350133,38375,0.0001745918202,5728,,
Iowa,2001,,,,,,,,,,,,,,,,,,,0.398,0.021,0.217391304,0.569767442,0.409969965,,,,0.409969965,2929240,1.7,49.80,"27,791","27,791","2,931,997",947.9,,,1200900,40997,0.0000414664523,24116,,
Kansas,2001,,,,,,,,,,,,,,,,,,,0.417,0.021,0.345454545,0.592436975,0.413170558,,,,0.413170558,2701167,3.4,91.84,"24,647","24,647","2,702,162",912.1,,,1116043,41317,0.00008229047143,12152,,
Kentucky,2001,,,,,,,,,,,,,,,,,,,0.522,0.021,0.373626374,0.735148515,0.522729484,,,,0.522729484,4068775,4.4,179.03,"39,861","39,861","4,068,132",979.8,,,2126869,52273,0.00008417355697,11880,,
Louisiana,2001,,,,,,,,,,,,,,,,,,,0.45,0.021,0.612244898,0.739240506,0.440112038,,,,0.440112038,4460400,11.2,499.56,"41,757","41,757","4,477,875",932.5,,,1963076,44011,0.0002544806557,3930,,
Maine,2001,,,,,,,,,,,,,,,,,,,0.403,0.021,0.333333333,0.5859375,0.398282442,,,,0.398282442,1284295,1.5,19.26,"12,421","12,421","1,285,692",966.1,,,511512,39828,0.00003766171545,26552,,
Maryland,2001,,,,,,,,,,,,,,,,,,,0.249,0.021,0.224719101,0.547945205,0.238316214,,,,0.238316214,5374009,8.3,446.04,"43,839","43,839","5,374,691",815.7,,,1280713,23832,0.0003482767648,2871,,
Massachusetts,2001,,,,,,,,,,,,,,,,,,,0.121,0.021,0.045454545,0.304733728,0.121652103,,,,0.121652103,6411336,2.2,141.05,"56,754","56,754","6,397,634",887.1,,,779953,12165,0.000180843565,5530,,
Michigan,2001,,,,,,,,,,,,,,,,,,,0.38,0.021,0.266009852,0.575471698,0.38629928,,,,0.38629928,10005334,6.7,670.36,"86,424","86,424","9,991,120",865,,,3865053,38630,0.0001734406546,5766,,
Minnesota,2001,,,,,,,,,,,,,,,,,,,0.405,0.021,0.255813953,0.558375635,0.404374297,,,,0.404374297,4982180,2.4,119.57,"37,735","37,735","4,982,796",757.3,,,2014666,40437,0.00005935095326,16849,,
Mississippi,2001,,,,,,,,,,,,,,,,,,,0.545,0.021,0.666666667,0.740875912,0.548800053,,,,0.548800053,2853090,9.9,282.46,"28,259","28,259","2,852,994",990.5,,,1565776,54880,0.0001803935686,5543,,
Missouri,2001,,,,,,,,,,,,,,,,,,,0.446,0.021,0.361538462,0.638655462,0.453618207,,,,0.453618207,5642852,6.6,372.43,"54,982","54,982","5,641,142",974.7,,,2559700,45362,0.0001454968054,6873,,
Montana,2001,,,,,,,,,,,,,,,,,,,0.623,0.021,0.592592593,0.790540541,0.592589806,,,,0.592589806,905782,3.8,34.42,"8,265","8,265","906,961",911.3,,,536757,59259,0.00006412530154,15594,,
Nebraska,2001,,,,,,,,,,,,,,,,,,,0.4,0.021,0.384615385,0.602484472,0.399054969,,,,0.399054969,1717672,2.5,42.94,"15,174","15,174","1,719,836",882.3,,,685446,39905,0.00006264801078,15962,,
Nevada,2001,,,,,,,,,,,,,,,,,,,0.369,0.021,0.404761905,0.610561056,0.36300164,,,,0.36300164,2094338,8.6,180.11,"16,285","16,285","2,098,399",776.1,,,760248,36300,0.0002369135302,4221,,
New Hampshire,2001,,,,,,,,,,,,,,,,,,,0.31,0.021,0.228571429,0.537878788,0.289490032,,,,0.289490032,1256685,1.3,16.34,"9,815","9,815","1,255,517",781.7,,,363798,28949,0.00004490655485,22268,,
New Jersey,2001,,,,,,,,,,,,,,,,,,,0.122,0.021,0.120300752,0.331868132,0.11669447,,,,0.11669447,8488427,3.9,331.05,"74,710","74,710","8,492,671",879.7,,,990552,11669,0.0003342060682,2992,,
New Mexico,2001,,,,,,,,,,,,,,,,,,,0.391,0.021,0.316455696,0.575971731,0.378386694,,,,0.378386694,1828437,5.4,98.74,"14,129","14,129","1,831,690",771.4,,,691856,37839,0.0001427111494,7007,,
New York,2001,,,,,,,,,,,,,,,,,,,0.182,0.021,0.102040816,0.424603175,0.177267201,,,,0.177267201,19087486,5,954.37,"159,240","159,240","19,082,838",834.5,,,3383585,17727,0.0002820600749,3545,,
North Carolina,2001,,,,,,,,,,,,,,,,,,,0.382,0.021,0.400990099,0.693081761,0.377025745,,,,0.377025745,8202468,6.2,508.55,"70,934","70,934","8,210,122",864,,,3092542,37703,0.0001644450036,6081,,
North Dakota,2001,,,,,,,,,,,,,,,,,,,0.503,0.021,0.222222222,0.606557377,0.497766222,,,,0.497766222,636225,1.1,7.00,"6,048","6,048","639,062",946.4,,,316691,49777,0.0000220987273,45251,,
Ohio,2001,,,,,,,,,,,,,,,,,,,0.324,0.021,0.31627907,0.60059761,0.307065789,,,,0.307065789,11395572,4,455.82,"108,027","108,027","11,387,404",948.7,,,3499190,30707,0.0001302652442,7677,,
Oklahoma,2001,,,,,,,,,,,,,,,,,,,0.48,0.021,0.43956044,0.688679245,0.480138888,,,,0.480138888,3463996,5.3,183.59,"34,682","34,682","3,467,100","1,000.30",,,1663199,48014,0.0001103847268,9059,,
Oregon,2001,,,,,,,,,,,,,,,,,,,0.415,0.021,0.394230769,0.596009975,0.391923162,,,,0.391923162,3469878,2.4,83.28,"30,158","30,158","3,467,937",869.6,,,1359926,39192,0.00006123649309,16330,,
Pennsylvania,2001,,,,,,,,,,,,,,,,,,,0.363,0.021,0.36,0.573739296,0.344422941,,,,0.344422941,12296977,5.3,651.74,"129,729","129,729","12,298,970","1,054.80",,,4235361,34442,0.0001538805744,6499,,
Rhode Island,2001,,,,,,,,,,,,,,,,,,,0.134,0.021,0.136363636,0.333333333,0.131276466,,,,0.131276466,1057707,3.7,39.14,"10,021","10,021","1,057,142",947.9,,,138852,13128,0.0002818479285,3548,,
South Carolina,2001,,,,,,,,,,,,,,,,,,,0.442,0.021,0.590909091,0.68907563,0.441463098,,,,0.441463098,4062301,8.1,329.05,"36,612","36,612","4,064,995",900.7,,,1793356,44146,0.0001834807946,5450,,
South Dakota,2001,,,,,,,,,,,,,,,,,,,0.518,0.021,0.235294118,0.443181818,0.5468987,,,,0.5468987,758803,0.9,6.83,"6,923","6,923","757,972",913.4,,,414988,54690,0.00001645642968,60767,,
Tennessee,2001,,,,,,,,,,,,,,,,,,,0.444,0.021,0.473684211,0.721453287,0.426340769,,,,0.426340769,5754748,7.4,425.85,"55,151","55,151","5,750,789",959,,,2453484,42634,0.0001735700768,5761,,
Texas,2001,,,,,,,,,,,,,,,,,,,0.377,0.021,0.445945946,0.661987647,0.365700842,,,,0.365700842,21330190,6.2,1322.47,"152,779","152,779","21,319,622",716.6,,,7800468,36570,0.0001695374822,5898,,
Utah,2001,,,,,,,,,,,,,,,,,,,0.455,0.021,0.375,0.60754717,0.468549189,,,,0.468549189,2290966,2.9,66.44,"12,662","12,662","2,283,715",554.4,,,1073430,46855,0.00006189318151,16157,,
Vermont,2001,,,,,,,,,,,,,,,,,,,0.43,0.021,0,0.711864407,0.41813101,,,,0.41813101,611889,1.1,6.73,"5,201","5,201","612,223",849.5,,,255850,41813,0.00002630754414,38012,,
Virginia,2001,,,,,,,,,,,,,,,,,,,0.362,0.021,0.369318182,0.647342995,0.346049454,,,,0.346049454,7191579,5.1,366.77,"56,280","56,280","7,198,362",781.8,,,2488642,34605,0.0001473777791,6785,,
Washington,2001,,,,,,,,,,,,,,,,,,,0.341,0.021,0.408450704,0.584210526,0.328860002,,,,0.328860002,5988346,3,179.65,"44,642","44,642","5,985,722",745.8,,,1969327,32886,0.0000912242286,10962,,
West Virginia,2001,,,,,,,,,,,,,,,,,,,0.549,0.021,0.5,0.716666667,0.53240092,,,,0.53240092,1798190,2.2,39.56,"20,967","20,967","1,801,481","1,163.90",,,957358,53240,0.00004132224264,24200,,
Wisconsin,2001,,,,,,,,,,,,,,,,,,,0.431,0.021,0.170940171,0.568965517,0.427855695,,,,0.427855695,5408099,3.6,194.69,"46,628","46,628","5,406,835",862.4,,,2313886,42786,0.00008414051845,11885,,
Wyoming,2001,,,,,,,,,,,,,,,,,,,0.606,0.021,0.545454545,0.763888889,0.592371532,,,,0.592371532,492976,1.8,8.87,"4,029","4,029","494,657",814.5,,,292025,59237,0.00003038633531,32910,,
Alabama,2002,,,,,,,,,,,,,,,,,,,0.553,0.02,0.565656566,0.78313253,0.575970917,,0.44089847,,0.5084346935,4471462,6.8,304.06,"46,069","46,069","4,480,089","1,028.30",,,2273446,50843,0.0001337438237,7477,,
Alaska,2002,,,,,,,,,,,,,,,,,,,0.614,0.02,0.628571429,0.721649485,0.628999887,,0.456990004,,0.5429949455,641974,5.1,32.74,"3,030","3,030","642,337",471.7,,,348589,54299,0.00009392352622,10647,,
Arizona,2002,,,,,,,,,,,,,,,,,,,0.381,0.02,0.473684211,0.668531469,0.371388341,,0.345186426,,0.3582873835,5451472,7.1,387.05,"42,816","42,816","5,396,255",793.4,,,1953194,35829,0.000198164946,5046,,
Arkansas,2002,,,,,,,,,,,,,,,,,,,0.56,0.021,0.484848485,0.723472669,0.571686877,,,,0.571686877,2704471,5.2,140.63,"28,513","28,513","2,705,927","1,053.70",,,1546111,57169,0.00009095888342,10994,,
California,2002,,,,,,,,,,,,,,,,,,,0.228,0.035,0.243319269,0.523241955,,,0.207165818,,0.207165818,34867773,6.8,2371.01,"234,565","234,565","34,871,843",672.6,,,7223411,20717,0.0003282394782,3047,,
